"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"9","gRPC сервисы","0","Сервис валют","0","0","Граничные значения","0"
"5","gRPC сервисы","0","Сервис валют","0","0","Валютные пары","0"
"11","Приложение Niffler","0","Управление данными пользователей","0","0","Управление друзьями","0"
"9","Приложение Niffler","0","Управление категориями","0","0","","0"
"13","Приложение Niffler","0","Управление данными пользователей","0","0","Управление пользователями","0"
"8","gRPC сервисы","0","Сервис валют","0","0","Разбиение по эквивалентности","0"
"4","UI тесты","0","Управление категориями","0","0","CRUD операции","0"
"6","REST API","0","Управление тратами","0","0","CRUD операции","0"
"3","UI тесты","0","Аутентификация","0","0","Управление пользователями","0"
"1","UI тесты","0","Управление тратами","0","0","Поиск и фильтрация","0"
"4","gRPC сервисы","0","Сервис валют","0","0","Конвертация валют","0"
"1","gRPC сервисы","0","Сервис валют","0","0","Управление валютами","0"
"4","gRPC сервисы","0","Сервис валют","0","0","Обработка ошибок","0"
"6","UI тесты","0","Управление тратами","0","0","CRUD операции","0"
"1","REST API","0","Управление тратами","0","0","Граничные тесты","0"
"4","UI тесты","0","Управление данными пользователей","0","0","Управление пользователями","0"
"1","UI тесты","0","Управление тратами","0","0","Граничные тесты","0"
"1","UI тесты","0","Управление категориями","0","0","Граничные тесты","0"
"1","gRPC сервисы","0","Сервис валют","0","0","Сценарии ошибок","0"
