"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_get_friends_page_out_of_range[page=100_size=100]","tests.api.soap","Sat Nov 08 14:55:49 UTC 2025","broken","Sat Nov 08 14:55:49 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","test_get_user_info_with_existing_username","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Получение траты по ID с валидацией данных","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestSpendAPI","test_spend","",""
"","0","Эквивалентность сумм: Маленькая отрицательная сумма","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceEquivalencePartitioning","test_grpc","",""
"","0","Архивация и разархивация категории","tests.ui","Sat Nov 08 14:56:25 UTC 2025","broken","Sat Nov 08 14:56:25 UTC 2025","","test_category","",""
"","0","Эквивалентность сумм: Микро сумма возвращает 0","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceEquivalencePartitioning","test_grpc","",""
"
    Тест точных конвертаций валют на основе известных курсов обмена.
    Проверяет точность расчетов конвертации валют.
    ","0","Расчет курса - точные конвертации: 4 -> 3","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceIntegration","test_grpc","",""
"","0","Создание новой траты","tests.ui","Sat Nov 08 14:56:26 UTC 2025","broken","Sat Nov 08 14:56:26 UTC 2025","","test_spend","",""
"","0","Отрицательные суммы: Единичная отрицательная сумма","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","test_get_all_users_page_invalid_parameters[page=-1_size=1]","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","test_get_all_users_pagination[page=1_size=4]","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","Удаление всех трат","tests.ui","Sat Nov 08 14:56:26 UTC 2025","broken","Sat Nov 08 14:56:26 UTC 2025","","test_spend","",""
"Проверка валидации некорректных имен категорий","0","Негативные тесты - некорректные имена категорий","tests.api.rest","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestCategoryAPI","test_category","",""
"Тест конвертации валют с различными граничными значениями сумм.","0","Граничные значения сумм: Экстремальная сумма USD->EUR","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"Тест конвертации валют с различными граничными значениями сумм.","0","Граничные значения сумм: Очень маленькая сумма - сервер возвращает 0","tests.api.grpc","Sat Nov 08 14:55:43 UTC 2025","broken","Sat Nov 08 14:55:43 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","Отрицательные суммы: Маленькая отрицательная сумма","tests.api.grpc","Sat Nov 08 14:55:44 UTC 2025","broken","Sat Nov 08 14:55:44 UTC 2025","TestNifflerCurrencyServiceBoundaryValues","test_grpc","",""
"","0","test_get_all_users_pagination[page=0_size=3]","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
"","0","test_get_all_users_page_invalid_parameters[page=0_size=0]","tests.api.soap","Sat Nov 08 14:55:48 UTC 2025","broken","Sat Nov 08 14:55:48 UTC 2025","TestSoapUsers","test_soap_users","",""
